variant,n_features,weighted_f1,cohen_kappa,accuracy,quantity_disagreement,allocation_disagreement,total_disagreement,fold_f1_mean,fold_f1_se
e1_der,46,0.713909597671107,0.5727642335314594,0.718190537084399,0.055306905370844005,0.22650255754475704,0.28180946291560105,0.7043523583625035,0.034011398327205886
e2_bs,42,0.542572971101935,0.3310301830382154,0.5457161125319693,0.03916240409207161,0.4151214833759591,0.4542838874680307,0.5550752879337942,0.034374635011413815
e3_bsder,87,0.7509585103994125,0.6325345030815894,0.7587915601023018,0.06250000000000003,0.17870843989769822,0.24120843989769825,0.7519026157880149,0.023846729551689864
