texture_type,n_features,optimal_quant_L,OOF_weighted_F1,OOF_kappa,fold_mean_F1,fold_SE,fold_SD,fold0_F1,fold1_F1,fold2_F1,fold3_F1,fold4_F1,wasserstein_drift_mean
D1 — first-order only (bathy + raw BS + focal + rank + HSI + acr_sapa_w21),75,,0.7500372948786819,0.630951528388329,0.7494632882665402,0.02275200921994855,0.050875039240506924,0.6932664224041374,0.7481199025126524,0.7951459380281126,0.7052125106646769,0.805571667723122,
D2 — GLCM only at quant=128 (bathy + raw BS + GLCM + acr_sapa_w21),59,128.0,0.7380698114618958,0.6112041436730575,0.7378139541291828,0.028956422563925978,0.06474852923814724,0.646859263394606,0.7300178096202475,0.81916821617907,0.7176494949707504,0.7753749864812403,0.2661923030621674
D3 — combined (D1 ∪ D2 GLCM at quant=128),87,128.0,0.7500972923650626,0.6310300813288736,0.7517596810575824,0.023293660980928936,0.05208620939819154,0.6975622954104339,0.748815438493861,0.8158787755022714,0.7048528245778404,0.7916890713035052,0.2661923030621674
