sigma_pixels,sigma_metres,n_features_total,OOF_weighted_F1,OOF_kappa,fold_mean_F1,fold_SE,fold_SD,fold0_F1,fold1_F1,fold2_F1,fold3_F1,fold4_F1,wasserstein_drift_mean
0,0.0,87,0.7491888901989621,0.6298654241527948,0.750450619359275,0.023920914407288933,0.05348879069865215,0.6911049275330198,0.751933553223417,0.8150352426980888,0.7039253067868878,0.7902540665549616,0.262601157800042
1,0.25,87,0.749674259374288,0.6309487038424064,0.7493798874047333,0.02200593404488248,0.04920676443273414,0.6919908731232683,0.752797190293405,0.8029545256057753,0.707687344684179,0.7914695033170395,0.2573255254304718
2,0.5,87,0.7495720345806041,0.6299792647018236,0.7490033665158303,0.023303754032419986,0.05210877814742593,0.6927250629340448,0.739502375376368,0.7964590378397034,0.7072541557076428,0.8090762007213921,0.2469305946122418
4,1.0,87,0.7450035081906583,0.6227813300814788,0.7440400220612551,0.02197507553319028,0.0491377627029059,0.6840842774876644,0.740593305957953,0.7842718592406372,0.7099938309032577,0.801256836716763,0.20568738774597042
8,2.0,87,0.7538495093196971,0.6367451731347886,0.753924863606529,0.021454431709838406,0.047973567721825726,0.7019078804863064,0.7585024167544278,0.8020697346017983,0.7079598922877266,0.7991843939023858,0.16296899680137036
