bs_source,raster_path,clip_lo,clip_hi,n_features_total,OOF_weighted_F1,OOF_kappa,fold_mean_F1,fold_SE,fold_SD,fold0_F1,fold1_F1,fold2_F1,fold3_F1,fold4_F1,wasserstein_drift_mean
C1 — original (dB),data/raw/MBES/backscatter.tif,-45.0,-5.0,87,0.7450291689901757,0.623195583068429,0.746534371688268,0.021638473760951724,0.04838509825883359,0.6929587599881811,0.7383704736009772,0.8016019726536335,0.7088046611630744,0.7909359910354735,0.2680020996681174
C2 — destriped FFT + median 3x3 ×2 (canonical CNN raster),data/derived/backscatter_destriped_masked_median2x.tif,0.3963239789009094,0.7148833870887756,87,0.74987441875418,0.6275355652073407,0.750081028419565,0.015728718098782284,0.03517048286780844,0.7008194960930818,0.7334973248789269,0.774275540006988,0.7509894648067204,0.790823316312108,0.24766558644070885
C3 — destriped FFT only (no median),data/raw/MBES/backscatter_destriped.tif,0.38913358723085556,0.7205636746038769,87,0.7500835188571988,0.6308949923311473,0.752253656374015,0.016922824625471383,0.03784058623386143,0.6984814865925948,0.7535990495003692,0.794449593678718,0.7349910580572698,0.7797470940411233,0.2722072683942217
